name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,5yrs
Michael Holton,74,23.8,8.4,3.5,7.8,0.2,0.6,1.3,1.6,0.4,1.4,2.7,0.8,0.1,1.7,1
Charles Jones,78,20.1,8.4,3,5.8,0,0.1,2.3,3.6,1.8,3.3,1.6,0.6,0.8,1.8,0
Michael Cage,75,21.5,7.1,2.9,5.3,0,0,1.3,1.8,1.7,3.5,0.7,0.5,0.4,1.1,1
John Stockton,82,18.2,5.6,1.9,4.1,0,0.1,1.7,2.4,0.3,1,5.1,1.3,0.1,1.8,1
Eddielee Wilkins,54,17,5.5,2.1,4.3,0,0,1.2,2.3,1.6,3.3,0.3,0.4,0.3,1.2,1
Steve Burtt,47,8.9,4.2,1.5,4,0,0,1.1,1.6,0.2,0.4,0.4,0.4,0.1,0.7,1
Gary Plummer,66,10.6,3.8,1.4,3.5,0,0.1,1,1.4,0.8,1.2,0.4,0.2,0.2,0.8,1
Ozell Jones,67,13.3,3.7,1.6,2.7,0,0,0.5,1.2,1,2.6,0.8,0.4,0.9,0.9,0
Bernard Thompson,59,9.1,3.3,1.3,3.6,0,0.1,0.7,0.9,0.6,0.7,0.9,0.5,0.2,0.6,0
Stuart Gray,52,7.5,2,0.7,1.8,0,0,0.6,0.9,0.6,1.8,0.3,0.2,0.3,1,1
Ralph Sampson,82,32.8,21,8.7,16.7,0,0,3.5,5.3,3.6,7.6,2,0.9,2.4,3.6,1
Steve Stipanovich,81,30,12,4.8,10.1,0,0.2,2.3,3,1.4,5.5,2.1,0.9,0.8,2,0
Paul Thompson,82,21.1,9,3.8,8.1,0.1,0.5,1.4,1.8,1.5,2.3,1.5,0.9,0.5,0.9,0
Darrell Walker,82,16.1,7.9,2.6,6.3,0,0.2,2.5,3.2,0.9,1.1,3.5,1.5,0.2,2.4,1
Clyde Drexler,82,17.2,7.7,3.1,6.8,0,0,1.5,2.1,1.4,1.5,1.9,1.3,0.4,1.5,1
Jim Thomas,72,16.9,6.3,2.6,5.6,0,0.2,1.1,1.5,0.8,1.3,1.8,0.8,0.1,1,1
Darren Daye,75,15.7,6.1,2.4,5.4,0,0.1,1.3,1.8,1.2,1.3,2.3,0.5,0.2,1.3,0
Stewart Granger,56,13.2,4.5,1.7,4,0.1,0.2,0.9,1.3,0.1,0.8,2.4,0.4,0,1,0
Sidney Lowe,78,15.9,4.2,1.4,3.3,0,0.2,1.4,1.8,0.4,1.2,3.4,1.2,0.1,1.4,1
Granville Waiters,78,13.3,3.6,1.6,3.1,0,0,0.4,0.7,0.8,2.1,0.8,0.3,1.1,0.8,0
Clark Kellogg,81,34.1,20.1,8.4,17.5,0,0.2,3.2,4.3,4.2,6.4,2.8,1.7,0.5,2.7,0
Dominique Wilkins,82,32.9,17.5,7.3,14.9,0,0.1,2.8,4.1,2.8,3.1,1.6,1,0.8,2.2,1
James Worthy,77,25.6,13.4,5.8,10,0,0.1,1.8,2.9,2,3.1,1.7,1.2,0.8,2.3,1
Terry Teagle,73,23.4,10.4,4.5,10.6,0.1,0.4,1.2,1.7,1,1.6,2.1,0.7,0.2,1.9,1
Rod Higgins,82,26.8,10.3,3.8,8.5,0.2,0.5,2.5,3.2,1.9,2.5,2.1,0.8,0.8,1.5,1
Lafayette Lever,81,24.9,7.8,3.2,7.3,0.1,0.2,1.4,2,1,1.7,5.3,1.9,0.2,1.7,1
Mitchell Anderson,65,18.5,7.4,2.9,5.8,0,0.1,1.5,2.7,1.8,2.7,1,1,0.3,1.2,0
Paul Pressey,79,19.3,6.7,2.7,5.9,0,0.1,1.3,2.2,1.1,2.5,2.6,1.3,0.6,2.1,1
Russ Schoene,77,15.9,6.2,2.7,5.6,0,0.1,0.8,1.1,1.2,2.1,0.8,0.3,0.3,1.1,1
Edmund Sherod,64,25.4,6.2,2.7,6.6,0,0.2,0.8,1.3,0.7,1.7,4.9,1.5,0.2,1.6,0
Rory White,65,9.6,5,2,3.6,0,0,1.1,1.7,0.7,0.9,0.5,0.2,0,0.8,0
Lester Conner,75,18.9,4.9,1.9,4,0,0.1,1.1,1.5,0.9,2,3.4,1.5,0.1,1.3,1
